Serial
 N candidates   gen_time     unique filter_time total_found write_time total_time
 3          3     0.0000          2     0.0001          3     0.0005     0.0006
 4         14     0.0000          6     0.0002          9     0.0008     0.0023
 5         90     0.0006         21     0.0046         30     0.0021     0.0114
 6        422     0.0005        164     0.1061        194     0.0075     0.1346
 7       3676     0.0050       1438     8.1039       1632     0.0573     8.4240
 8      36314     0.0516      14739   872.7583      16371     0.5048   890.0282

4 threads
 N candidates   gen_time     unique filter_time total_found write_time total_time
 3          3     0.0000          2     0.0041          3     0.0000     0.0041
 4         14     0.0000          6     0.0004          9     0.0000     0.0088
 5         90     0.0004         21     0.0037         30     0.0000     0.0176
 6        422     0.0007        164     0.0699        194     0.0000     0.0969
 7       3676     0.0058       1438     4.4192       1632     0.0000     4.6013
 8      36314     0.0559      14739   428.5806      16371     0.0004   437.7425

30 threads
 N candidates   gen_time     unique filter_time total_found write_time total_time
 3          3     0.0000          2     0.0077          3     0.0032     0.0110
 4         14     0.0000          6     0.0003          9     0.0052     0.0275
 5         90     0.0008         21     0.0019         30     0.0182     0.0648
 6        422     0.0008        164     0.0343        194     0.0711     0.2083
 7       3676     0.0073       1438     1.3432       1632     0.4912     2.1934
 8      36314     0.0731      14739   107.2772      16371     4.4339   115.9628

30 Threads static scheduling
 3          3     0.0000          2     0.0062          3     0.0000     0.0062
 4         14     0.0000          6     0.0003          9     0.0000     0.0127
 5         90     0.0007         21     0.0019         30     0.0000     0.0219
 6        422     0.0008        164     0.0348        194     0.0000     0.0666
 7       3676     0.0072       1438     1.3494       1632     0.0000     1.4680
 8      36314     0.0724      14739   107.3676      16371     0.0004   110.3098
